Longitude,Latitude,GravelD50,GravelPercent,MudPercent,OrbitalVelMax,OrbitalVelMean,Permeability,POC,Porosity,Rock10cm,Rock50cm,SandD50,SandPercent,SurfaceCarbon,SurfaceNitrogen,TidalVelMax,TidalVelMean,TN,TotalD50
-14.8125,57.3125,4.839677811,3.781625509,27.43254852,0.045157921,0.002547435,7.52E-14,0.538027823,0.432063252,1.19E-17,0.010141667,0.189999893,68.78582764,0.809749246,0.112601727,15.18293667,6.600676537,0.074816816,0.14208883
-14.6875,57.3125,5.421392441,8.985451698,13.43806934,0.06968005,0.004675178,8.47E-13,0.442593694,0.396650642,8.00E-04,4.00E-04,0.256573975,77.57647705,0.70765233,0.103474721,18.51109505,8.013715744,0.064717174,0.240146026
-14.5625,57.3125,4.125410557,2.401694298,12.21599197,0.105619669,0.008656949,2.26E-13,0.392228395,0.412920684,6.00E-04,2.80E-04,0.240776792,85.38231659,0.610213339,0.097557433,22.3992424,9.666815758,0.062707245,0.180408567
-14.4375,57.3125,4.252411366,2.551014662,14.19562244,0.145996049,0.014391854,1.78E-13,0.433657229,0.416654736,8.00E-04,8.00E-04,0.246399894,83.25336456,0.670375526,0.098224282,26.72307014,11.69164467,0.063540019,0.171165213
-14.3125,57.3125,5.68030405,13.30620384,4.915703773,0.181836158,0.020666499,8.83E-12,0.317781895,0.380017728,0.007926667,0.0096,0.449595779,81.77809143,0.522100687,0.086122334,30.76916504,13.79374981,0.05241923,0.39911443
-14.1875,57.3125,4.668501377,5.069035053,6.826238632,0.208054706,0.026017198,1.59E-12,0.333254337,0.390911996,0.009986667,0.011241538,0.328240246,88.1047287,0.537900269,0.091633931,35.41368484,16.05499268,0.056771502,0.275208354
-14.0625,57.3125,5.17293787,7.328393936,3.79727006,0.217609838,0.028214162,5.83E-12,0.31579712,0.3821266,0.004026667,0.0043,0.356005549,88.87433624,0.517075002,0.088829726,39.92483139,18.12064552,0.054251652,0.364783019
-13.9375,57.3125,4.950297832,6.904994488,6.196618557,0.215197548,0.027823795,2.77E-12,0.318306595,0.38670817,0.015966667,0.019013334,0.364111573,86.89838409,0.517319322,0.089754745,43.04960632,19.86193085,0.055226095,0.310398996
-13.8125,57.3125,5.060590267,6.431162834,4.484881401,0.201255441,0.024972498,4.12E-12,0.323166072,0.384127825,0.0039,0.020649999,0.361568928,89.08395386,0.527426839,0.087833621,44.43835068,21.19659042,0.053817604,0.338305205
-13.6875,57.3125,4.768274307,6.216834068,7.486850262,0.197982073,0.024420556,1.70E-12,0.342423856,0.390347332,0.00502,0.01602,0.313890636,86.29631805,0.553213,0.09126316,44.79198074,22.72510338,0.056489427,0.2793625
-13.5625,57.3125,4.909481049,7.397204876,8.63053894,0.204828545,0.025988214,1.56E-12,0.348364294,0.391070127,0.044366881,0.038166624,0.270456433,83.97225189,0.562142968,0.091506682,45.1002388,24.46129227,0.05670739,0.274072021
-13.4375,57.3125,5.231370449,9.200821877,9.69280529,0.197136864,0.024497643,1.52E-12,0.324912876,0.391300768,0.016100606,0.019562425,0.226322591,81.10637665,0.524101675,0.084561482,48.99983215,26.17583084,0.052423254,0.272435069
-13.3125,57.3125,4.868242741,7.058273315,10.01526165,0.176694602,0.020538056,1.06E-12,0.34410727,0.394431919,0.016946666,0.022426667,0.246698558,82.9264679,0.552208006,0.085492916,52.62521362,26.56528664,0.053274736,0.252352357
-13.1875,57.3125,4.799726009,3.509722233,19.5419426,0.078048445,0.005867084,1.49E-13,0.45795536,0.419551551,0.002993333,0.005316667,0.263540179,76.94833374,0.704421639,0.102929123,34.72709656,17.3384037,0.06691581,0.164704904
-13.0625,57.3125,4.643301487,5.655843258,10.80347157,0.020971904,9.93E-04,6.97E-13,0.381221414,0.398675591,4.00E-04,0,0.257491916,83.54068756,0.60747999,0.100553297,20.72123528,10.54663944,0.063101776,0.230178416
